,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
190,SunGlow Butter blend - 2 pats,70,70,8,3.0,0.0,0,65,0,0.0,0,0.0
191,Thick cut bacon,70,50,6,2.0,0.0,10,220,0,0.0,0,4.0
192,Zesty Onion Ring Dipping Sauce (1 oz),150,140,15,3.0,0.0,15,210,3,1.0,2,0.0
193,BK Fresh Apple Slices,25,0,0,0.0,0.0,0,0,6,1.0,5,0.0
194,Cheesy Tots,310,140,15,1.0,0.0,0,780,34,3.0,0,9.0
195,Flamin' Hot Mac n' Cheetos,390,198,22,4.5,0.0,15,1170,40,,3,9.0
196,French Fries Large,500,200,22,4.0,0.0,0,710,72,5.0,0,5.0
197,French Fries Medium,410,160,18,3.0,0.0,0,570,58,4.0,0,4.0
198,French Fries Small,340,130,15,3.0,0.0,0,480,49,4.0,0,4.0
199,French Fries Value,240,90,10,2.0,0.0,0,330,34,3.0,0,2.0
200,Mac 'n Cheetos,310,120,13,4.5,0.0,15,710,37,2.0,9,9.0
201,Motts' Harvest Plus Applesauce,50,0,0,0.0,0.0,0,0,13,1.0,11,0.0
202,Mozzarella Sticks (4 pc),280,140,15,5.0,0.0,35,650,24,2.0,2,11.0
203,Onion Rings Large,500,230,25,5.0,0.0,0,1310,64,5.0,7,5.0
204,Onion Rings Medium,410,190,21,4.0,0.0,0,1080,53,4.0,5,4.0
205,Onion Rings Small,320,150,16,3.0,0.0,0,840,41,3.0,4,3.0
206,Onion Rings Value,150,70,8,2.0,0.0,0,400,19,1.0,2,1.0
207,Satisfries French Fries Large,410,150,17,2.5,0.0,0,460,62,5.0,0,5.0
208,Satisfries French Fries Medium,340,120,14,2.0,0.0,0,370,51,4.0,0,4.0
209,Satisfries French Fries Small,270,100,11,1.5,0.0,0,300,41,3.0,0,4.0
210,Satisfries French Fries Value,190,70,8,1.0,0.0,0,210,28,2.0,0,2.0
