,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
83,Peppermint Chocolate Chip Milkshake Small,660.0,207,23.0,14.0,0.0,70.0,400.0,103.0,1.0,89.0,12.0
84,Strawberry Milkshake Large,770.0,250,28.0,16.0,0.0,95.0,530.0,118.0,1.0,106.0,16.0
85,Strawberry Milkshake Small,610.0,200,23.0,13.0,0.0,75.0,410.0,93.0,1.0,85.0,13.0
86,Vanilla Milkshake Large,660.0,250,27.0,16.0,0.0,95.0,510.0,91.0,0.0,90.0,16.0
87,Vanilla Milkshake Small,550.0,200,23.0,13.0,0.0,75.0,400.0,75.0,0.0,75.0,13.0
88,Buddy Fruits Cinnamon Apple Sauce,60.0,0,0.0,0.0,0.0,0.0,10.0,15.0,1.0,14.0,0.0
89,Chick-n-Strips Kid's Meal 1 Piece,120.0,54,6.0,1.0,0.0,30.0,330.0,5.0,0.0,1.0,11.0
90,Chick-n-Strips Kid's Meal 2 Piece,240.0,108,12.0,2.5,0.0,55.0,660.0,11.0,1.0,1.0,22.0
91,Chocolate Milk,150.0,27,3.0,1.5,0.0,10.0,170.0,26.0,1.0,23.0,7.0
92,Grilled Nuggets Kid's Meal (4) 4 Piece,70.0,18,2.0,0.5,0.0,35.0,270.0,35.0,0.0,0.0,11.0
93,Grilled Nuggets Kid's Meal (4) 6 Piece,100.0,27,3.0,1.0,0.0,55.0,400.0,3.0,0.0,1.0,17.0
94,Kids Fruit Cup,45.0,0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,0.0
95,Kids Waffle Potato Fries,310.0,144,16.0,2.5,0.0,0.0,140.0,37.0,3.0,0.0,3.0
96,Milk,90.0,18,2.0,1.5,0.0,10.0,95.0,11.0,0.0,11.0,7.0
97,Nuggets Kid's Meal 4 Piece,130.0,54,6.0,1.5,0.0,35.0,530.0,5.0,0.0,1.0,14.0
98,Nuggets Kid's Meal 6 Piece,200.0,90,10.0,2.0,0.0,55.0,790.0,7.0,1.0,1.0,21.0
99,Asian Salad,330.0,117,13.0,2.5,0.0,70.0,1090.0,24.0,5.0,11.0,29.0
100,Cobb Salad,430.0,198,22.0,7.0,0.0,145.0,1370.0,22.0,5.0,6.0,39.0
101,Grilled Market Salad,200.0,45,5.0,2.0,0.0,65.0,570.0,17.0,4.0,8.0,23.0
102,Spicy Southwest Salad with Chick-n-Strips,690.0,315,35.0,5.0,0.0,80.0,1160.0,56.0,,10.0,42.0
103,Spicy Southwest Salad with Chicken Nuggets,600.0,270,30.0,5.0,0.0,90.0,1200.0,44.0,,7.0,42.0
104,Spicy Southwest Salad with Grilled Cod,460.0,180,20.0,5.0,0.0,70.0,750.0,37.0,,7.0,35.0
105,Spicy Southwest Salad with Grilled Nuggets,480.0,189,21.0,5.0,0.0,80.0,670.0,37.0,,7.0,39.0
106,Spicy Southwest Salad with Spicy Grilled Cod,450.0,171,19.0,5.0,0.0,75.0,1070.0,37.0,,8.0,34.0
107,Spicy Southwest Salad without meat,340.0,153,17.0,5.0,0.0,15.0,220.0,35.0,,7.0,14.0
108,Barbecue Sauce,45.0,0,0.0,0.0,0.0,0.0,180.0,11.0,0.0,9.0,0.0
109,Chick-fil-A Sauce,140.0,110,13.0,2.0,0.0,10.0,170.0,6.0,0.0,6.0,0.0
110,Garlic & Herb Ranch Sauce,140.0,126,14.0,2.5,,15.0,230.0,1.0,,1.0,
111,Honey Mustard Sauce,45.0,5,0.0,0.0,0.0,0.0,150.0,11.0,0.0,10.0,0.0
112,Polynesian Sauce,110.0,50,6.0,1.0,0.0,0.0,210.0,14.0,0.0,5.0,0.0
113,Sriracha Sauce,45.0,0,,,,,380.0,10.0,,10.0,
114,Zesty Buffalo Sauce,50.0,45,5.0,,,5.0,710.0,1.0,,,
115,Chicken Salad Cup,360.0,216,24.0,4.5,0.0,125.0,1120.0,7.0,2.0,5.0,28.0
116,Chicken Tortilla Soup Large,550.0,117,13.0,5.0,0.0,95.0,2080.0,62.0,33.0,7.0,47.0
117,Chicken Tortilla Soup Medium,260.0,54,6.0,2.5,0.0,45.0,960.0,29.0,15.0,3.0,22.0
118,Cole Slaw,360.0,280,31.0,5.0,0.0,20.0,280.0,19.0,3.0,16.0,2.0
119,Fruit Cup,70.0,0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,14.0,1.0
120,Hearty Breast of Chicken Soup,140.0,35,4.0,1.0,0.0,25.0,1110.0,19.0,2.0,3.0,7.0
121,Kale Superfood Side Large,170.0,72,8.0,1.0,0.0,0.0,190.0,23.0,2.0,16.0,4.0
122,Kale Superfood Side Small,140.0,63,7.0,1.0,0.0,0.0,150.0,16.0,2.0,11.0,3.0
123,Side Salad,70.0,40,5.0,3.0,0.0,15.0,110.0,5.0,2.0,2.0,5.0
124,Waffle Fries Large,460.0,216,24.0,3.5,0.0,0.0,370.0,56.0,7.0,0.0,6.0
125,Waffle Fries Medium,360.0,162,18.0,3.5,0.0,0.0,280.0,43.0,5.0,0.0,5.0
126,Waffle Fries Small,280.0,126,14.0,3.5,0.0,0.0,220.0,33.0,4.0,0.0,4.0
127,Yogurt Parfait with Harvest Nut Granola,290.0,50,6.0,2.0,0.0,10.0,85.0,53.0,1.0,39.0,7.0
